client,date,p10,p25,p50,p75,p90,timestamp
mobile,2022_06_01,450.17,993.86,2022.49,4047.02,8089.66,2022-06-01
desktop,2022_05_01,529.15,1136.07,2301.62,4611.72,9006.56,2022-05-01
mobile,2022_05_01,444.94,982.16,2003.17,4008.38,8019.7,2022-05-01
desktop,2022_04_01,513.19,1097.48,2203.8,4391.62,8502.7,2022-04-01
mobile,2022_04_01,442.64,980.02,2010.61,3988.64,7687.64,2022-04-01
desktop,2022_03_01,503.45,1075.53,2165.51,4311.71,8319.43,2022-03-01
mobile,2022_03_01,431.88,960.71,1974.09,3917.78,7564.56,2022-03-01
desktop,2022_02_01,499.33,1074.0,2158.96,4287.64,8271.02,2022-02-01
mobile,2022_02_01,429.96,962.49,1984.11,3961.17,7573.96,2022-02-01
desktop,2022_01_01,505.47,1083.83,2174.13,4298.66,8204.65,2022-01-01
mobile,2022_01_01,421.02,952.74,1957.58,3831.42,7038.81,2022-01-01
desktop,2021_12_01,496.95,1075.61,2172.98,4303.26,8215.22,2021-12-01
mobile,2021_12_01,411.33,938.33,1935.23,3775.63,6965.07,2021-12-01
desktop,2021_11_01,500.5,1077.8,2173.27,4292.78,8162.54,2021-11-01
mobile,2021_11_01,414.99,942.76,1940.41,3787.06,6967.37,2021-11-01
desktop,2021_10_01,509.08,1093.79,2204.77,4327.76,8196.64,2021-10-01
mobile,2021_10_01,417.88,946.98,1950.92,3794.41,6956.1,2021-10-01
desktop,2021_09_01,511.93,1095.82,2198.4,4323.35,8189.16,2021-09-01
mobile,2021_09_01,421.36,945.42,1941.46,3778.71,6945.6,2021-09-01
desktop,2021_08_01,504.1,1081.88,2174.15,4276.66,8106.63,2021-08-01
mobile,2021_08_01,413.01,930.98,1925.9,3752.28,6895.6,2021-08-01
desktop,2021_07_01,496.51,1066.33,2148.72,4223.68,8001.16,2021-07-01
mobile,2021_07_01,414.79,932.2,1920.1,3733.95,6853.96,2021-07-01
desktop,2021_06_01,488.98,1052.51,2124.11,4139.8,7729.03,2021-06-01
mobile,2021_06_01,407.03,925.48,1914.04,3733.04,6840.74,2021-06-01
desktop,2021_05_01,485.43,1048.5,2123.56,4142.19,7701.66,2021-05-01
mobile,2021_05_01,403.66,924.36,1917.38,3750.3,6850.4,2021-05-01
desktop,2021_04_01,475.8,1033.78,2096.85,4096.74,7609.5,2021-04-01
mobile,2021_04_01,393.71,911.06,1896.17,3703.21,6779.45,2021-04-01
desktop,2021_03_01,475.47,1024.09,2063.01,4009.69,7444.79,2021-03-01
mobile,2021_03_01,407.44,919.48,1900.09,3696.94,6763.48,2021-03-01
desktop,2021_02_01,467.54,1007.67,2037.67,3980.94,7418.9,2021-02-01
mobile,2021_02_01,382.3,892.42,1875.79,3669.74,6706.94,2021-02-01
desktop,2021_01_01,465.6,1008.98,2038.42,3993.41,7452.0,2021-01-01
mobile,2021_01_01,366.23,882.75,1879.28,3747.33,7044.59,2021-01-01
desktop,2020_12_01,463.47,1012.3,2042.29,3996.85,7419.57,2020-12-01
mobile,2020_12_01,382.85,899.82,1891.18,3706.16,6735.02,2020-12-01
desktop,2020_11_01,456.5,998.14,2020.33,3941.75,7330.58,2020-11-01
mobile,2020_11_01,379.93,894.59,1876.25,3651.81,6663.02,2020-11-01
